ID,target
000137c73,3335682.8355963747
00021489f,2068684.5479615636
0004d7953,1204606.3710909872
00056a333,2898560.4541416056
00056d8eb,2546582.2509142244
0005fc190,2247958.2423456283
000787e86,2053623.3044864256
0008510a0,2340777.173815813
000895faf,2187667.563089459
000986fba,1617938.5160605174
0009efcc5,1055118.732974879
000dd8f00,4711916.275746256
000e1cdc2,1456729.565643926
00103739c,1258411.9213431422
00134b367,3308434.8190610087
001788d0d,1463046.16810377
0019c8ad7,1357658.4326424776
001a267b9,945825.1948693354
001a85486,1493521.408839506
001c4de06,1191331.4505061298
001f9014b,2983427.5872818213
00216fb94,1918890.092326909
00235690e,3121558.891573347
00240739d,3302227.806402498
0024c3747,1516511.5871927408
00297052d,2029172.3177741333
002ab8f85,2079323.2588829747
002bed5c0,1319459.063354888
002bf3974,3265710.084407628
002d23a26,3039190.2817791137
002f27de9,2420288.2098209383
0030d8bb4,2765308.858280459
003146acd,1030205.3081223669
003223263,1367003.1777632982
00335575e,2661764.5345909493
00337cf9d,2610752.839888329
003394397,2109365.0476407716
0036358a3,1486475.0924146378
003770d30,2381556.626779215
003bed5ea,1686487.2247917538
003ea6427,1437718.2518405565
003ef8132,2082124.8744751532
003fd1723,1113344.28827994
0041861b4,536132.1963051346
0042b718b,2067782.4626685204
004381d8f,1585997.4281582735
0043ca764,2943900.574297837
004486837,1202860.4484408079
0045c123e,1770931.5323402644
0048915c6,3562167.8023407348
004ab9a09,1555396.8475810816
004b2e1c9,3660332.6623674305
004c54732,1019908.0402575172
004cdefce,4823452.232049193
004dd971b,1524817.652427164
004f9329b,2154426.444446543
004fd2bca,988895.4081014503
0054bfedb,891218.115248591
0054ec58a,385413.3736553455
00551f45d,9461107.585661575
005777b4c,3241162.9600084927
00578d6ea,2210109.2059927485
005802488,1967496.8767490895
0059833b6,1548670.2777930002
005a70085,1209161.7229327331
005b148a0,3424554.8465120783
005c28df4,982356.0400539786
005f8dc26,2799107.9939023647
00603c202,3986805.832722942
006049609,3009756.6248950437
00612f47e,842503.0014436428
00647a57f,3398567.216029959
0065853ee,4326786.172949087
006589d5e,1057553.057815039
006598823,2423513.457856369
0065c093c,2020681.5646499984
006738351,1367537.9911275073
006a0c6a8,1373642.7077162848
006e9efe6,1252330.0131988772
006f029d3,2028412.8591740222
0070f35a2,2525399.0535418047
007135f85,3683234.0136677073
007285433,5030854.767874856
00735e101,1879740.4263131632
0074ecf4e,2562117.1791045223
007635fa9,2321396.91405519
007723613,2275764.494359709
007867da9,963684.7349980441
0078bfbd6,1171775.6883211671
0078ce229,900807.9922111393
007a89d50,1830860.0625145473
007d43dfa,2961428.776999841
007ee9e05,2096781.0725249837
007ffeae2,1958394.226533391
00835c85c,2477046.0046299705
0084b08f1,1775049.5732188306
0087fb290,944685.8531745186
0088a96bd,1516993.63489773
008ac4292,1635481.910723472
008d8cca8,4605326.138135262
008e07b8c,2124458.2148666037
008e5e25a,2757899.4306340963
0094edcdb,2339570.2375456486
00950141c,2809547.3761114758
009566ef1,2607599.951849544
0095c81d4,1180659.1652058049
0097a6ed4,2393921.484018146
0098fef9a,1024006.683588434
009b321ec,3812030.007507435
009cd681e,1267006.6937418748
009f34f86,1832699.1431055698
009f35cd3,1518508.159764959
009f65109,2736130.776657131
00a19014a,1369265.316232589
00a27e76a,746275.7831719846
00a3b6ef7,3334013.983675072
00a427603,1447135.9273581898
00a6dc8be,2551572.4934154726
00a811734,3860129.7619007584
00a8f58a7,3599284.643915806
00aaae151,1673778.4475040506
00ab17f67,4440310.168671977
00ac2d3a5,1572499.2619563043
00adab1b6,1410148.7073341548
00aef0d56,909621.605191051
00b0b06c4,1022545.8009947925
00b0e2303,1805748.013155907
00b1fbbc9,666248.9365680511
00b43e0c1,3389207.3416191586
00b7190a8,3726471.2616792526
00b722e1b,952313.7880882524
00bba815f,1634968.2757630064
00bbb1c42,3700881.287958037
00bc2b665,2051796.0850577825
00bc35689,1870692.9041964193
00be23f52,1934566.965660546
00be24ac5,2685488.997862544
00bfd0f70,2228032.607840324
00c02f73e,1819266.0252552237
00c08e5b3,1411759.6692620334
00c8690ff,2104600.316913617
00c8df4d5,1735931.400044158
00c8e30de,1982233.3663508282
00ca3fb04,1285291.8455949575
00cabf621,2029156.6072653471
00cb48ae3,1433762.7619390683
00cb6b147,2175202.0895822058
00cc91a22,1929618.4076598496
00cd65e9d,2388676.412365649
00cd7d6a8,569463.6409981882
00cdc1483,2356085.2849372244
00ce9bea5,1410177.7826209855
00cea0091,3384294.758467881
00cea68c6,2192493.1356120845
00d5a5975,1832644.6995067468
00d80a3a4,10828326.231279492
00d9f3864,652831.5593785318
00da4bd31,2512189.05843299
00df4dd77,4883655.692387734
00e1a55bf,4510858.105933627
00e332971,3700661.891006062
00e5b6b1b,4272255.557304167
00e85d5e3,2040174.2869038808
00e90abfa,1500218.3182454621
00e9708b4,1735966.1040717957
00e9c680f,5339872.0742233265
00eaa4394,2022031.2656544491
00eae8832,1449767.489116895
00ebefdc0,3311882.500042188
00ecbcb1b,1627320.7940325246
00ed49382,5907662.458977481
00ed87564,4598923.190585995
00ef96cfd,125873.29151210465
00efe7ca3,3556867.6444214056
00f36aa18,1809439.4472962213
00f3fb071,1790136.8211992579
00f43f548,1171240.7797059906
00f4d58ec,2115416.593701325
00f56e106,2417853.272872445
00f84d8c2,1716131.3044920517
00f92953b,3270701.780109225
00fa1d469,4560576.727216173
00ff96f49,1684968.3593728621
0100ce0d8,2104106.388224321
0102ea9e1,1840570.4727170411
0104b3af3,2103515.031751297
010672441,895630.8846321014
010771ca5,3358484.2305965554
0108aea9f,1178469.8526301146
010a479e1,1397592.3148836263
010d0a2dd,3297761.693962746
010e3cea2,1982146.7700007884
010e5417b,1553585.5540311956
01108a561,419384.6203864577
0110cca98,1361294.4592433202
011449698,2670284.2984731104
0114795f0,1465051.2016538852
011626c20,5533215.393419371
0117c8f27,1970511.0422954948
0117dcb47,1274992.5195024144
0118c34be,2718560.104171806
0119efcb9,2467666.068960638
011a58e13,1539459.466701213
011b7902b,5885183.594812898
011ca122e,3731230.9941939106
012053244,1377109.9738092294
0122a258e,520484.3832168931
0122a4305,2349773.447904544
01230d8ba,895147.9908080953
012414f4e,1420046.7340835663
012452125,1024897.0030678245
0124529b5,834177.171907603
012556288,2498666.4417410046
01257c24c,5128187.73843877
01258b972,1120849.1234084037
0125b64db,3921468.6112093898
01295ef92,2102677.6080720047
012a2752f,1823724.0288085707
012b6ba95,1518838.6433853826
012b96b58,2225541.4488387853
012e881b9,3109865.0883302325
012f25e94,2910115.10188312
012fa70bb,1476234.9584978826
01304fc0a,1383629.306505449
013230913,2382962.101247714
01336ceb8,2388732.052067076
0133b85e7,2747832.351618602
0136f8766,1546358.5239428598
0137356b9,2174045.130362907
013750184,402747.5645597179
013a3f07c,2881716.4229141236
013cc1c13,3503612.5561126396
013e96334,1224187.622702883
013fae0b1,1886660.83877502
014076343,2123866.2785892333
0140ea0ba,1637491.099273888
0143ee127,525010.692116619
014461014,1771760.1949550733
01446634f,787366.0727191726
014729fb2,1617942.2221099944
014749c88,1608062.1589848013
014787fc1,1848701.6459750447
014a6143c,925707.163336457
014af25cd,2438052.0297529567
014b5797e,3472125.234064424
014badcb1,2512396.465299524
014c523b1,4992132.494257836
014e55fdb,2470923.093668039
014ea0456,2697347.493115361
0151cc525,4265321.170028757
015409983,2510451.3107601563
015411bfe,1735813.4099261244
01560b792,161763.58472825895
0157b07da,3456323.3576062373
01587bbbc,1800974.8273806504
0158ba234,1486401.2511768634
01590d52a,3257103.950485024
015a40790,2320285.9158073124
015b07817,1874705.6368167687
015fc3313,3804951.73320248
01604ee4b,4359055.778067637
016054375,1605690.6465629113
01642dec0,1256123.177477297
0166ab5ea,2685011.1498886393
016b405be,1186785.4899072107
016bdc940,3267230.849434528
016c31d1a,496422.0072782242
016d290da,3370096.5916395355
016decdd2,1988702.513749505
016ee1214,3345096.672130632
016efef23,2974903.174819055
016f60448,1963902.9531291581
017029678,1375215.3352489485
01704d4ca,1359509.1948525526
0172638ce,1646394.1446923355
0173e6be5,5366399.615243091
0174ed320,1234719.7600486306
017623c5c,3339159.391563656
017a4044f,2837435.574570799
017a6c7f9,2234406.819403095
017ae7ac3,2138305.144959962
017b80d83,3316542.7948618587
017d9f1a4,1055510.1865152998
017e22e34,3748858.0359087214
017e9a902,3132856.8662855765
0180f14e9,2748438.348752467
018148c57,946368.6085076891
018166b42,1349009.5724287746
0181a6d0e,1875566.7679002685
018283661,3818901.6470435336
0183f9b32,1472205.3389652001
0186cbba4,3308293.6074278103
0188bc86f,2628786.838190129
01890383f,1985942.0899127289
018965366,1425242.4197812593
0189c8ab0,3059517.1326226243
018d514a2,1707818.2892143005
018d765bb,2325858.941092287
018dbbe73,2250640.1076544737
018de39ca,2008959.855002949
018fd935f,3783733.4026208483
018ffc9fa,2844553.245247279
019372984,1999928.966692641
01937e592,751623.0582422258
019381521,1044445.2477883766
01952e574,1530230.426504179
019540ad9,5854652.6108346535
01955815c,2438974.4645475307
0196be03d,1706511.5545488968
01978c738,1737000.1322468193
0197f607c,3768312.207030827
01980e862,895365.0796897027
019823615,2506647.8330411576
019ab3785,2822322.9949633367
019c0d544,4058052.4776467877
019c5ad1d,3417777.139236116
019cff829,2515949.965770266
019ed3e51,1105671.2206122046
019fd88df,1506667.3200883502
01a0a9e06,4825460.291469594
01a1f927c,1688869.013999737
01a4d6c6c,945465.4791070397
01a697820,2037484.7010761085
01a72cedb,230588.39497285854
01a900d08,1796203.1160906935
01a960c35,1747745.266795109
01aa854be,4378114.914154156
01ab08b6a,955879.5362627509
01ad8126b,2511464.3519219253
01af69076,3856903.8089388097
01aff9a04,2132206.317481648
01b128a94,3305729.9004689367
01b1e697f,2111474.4349353304
01b3159e1,1336042.616510146
01b342719,1606083.0329971737
01b375dad,4424819.62720022
01b6d93e9,1786634.8036548407
01b6e8722,748161.2152988228
01b728f6c,2251998.7746010087
01b784536,1466284.0312298553
01b7d0580,2389255.1986244875
01b7defea,2357329.9429500885
01b80bb3c,2336250.9082602505
01b8c1484,2024824.2928201088
01bbb0d76,2404732.255326759
01bc848d9,1620966.875551471
